"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.005833132E-4,-3.537294159E0,5.180576935E0,5.735772400E0,8.499994845E0
1.035758329E-2,-3.989952850E0,5.134023743E0,5.136718140E0,8.286362096E0
2.041458327E-2,-4.086651764E0,4.941673737E0,5.602250061E0,8.515049483E0
3.047158325E-2,-3.940106506E0,4.679868164E0,6.337820435E0,8.808721427E0
4.052858334E-2,-3.618425446E0,4.543052673E0,7.238347778E0,9.280409951E0
5.058558332E-2,-3.213667145E0,4.509223022E0,8.332572327E0,1.000462445E1
6.064158329E-2,-2.678979034E0,4.517156525E0,9.248966675E0,1.063602446E1
7.069858327E-2,-2.163900146E0,4.547094269E0,9.779762878E0,1.100010419E1
8.075558324E-2,-1.788929901E0,4.651277618E0,1.010069550E1,1.126315689E1
9.081258334E-2,-1.669627991E0,4.691693573E0,1.031385223E1,1.145317398E1
1.008695833E-1,-1.744322662E0,4.582720184E0,1.014829651E1,1.127084326E1
1.109265833E-1,-1.912872162E0,4.413571930E0,9.696236572E0,1.082384870E1
1.209835833E-1,-2.087109833E0,4.233197021E0,9.153764648E0,1.029890245E1
1.310405832E-1,-2.300416260E0,4.178560638E0,8.644224243E0,9.872937594E0
1.410975833E-1,-2.377356262E0,4.278552704E0,8.231682129E0,9.576973776E0
1.511535833E-1,-2.195185089E0,4.416266327E0,7.917635193E0,9.327979036E0
1.612105833E-1,-1.984872437E0,4.620142365E0,7.936645660E0,9.395519059E0
1.712675833E-1,-1.891316986E0,4.813540192E0,8.233328705E0,9.722908550E0
1.813245832E-1,-1.912423096E0,4.532275085E0,8.536598053E0,9.852531952E0
1.913815833E-1,-1.201701050E0,4.075874176E0,8.905880127E0,9.867701685E0
2.014385833E-1,-4.236190796E-1,3.717369690E0,9.056317291E0,9.798733256E0
2.114955833E-1,-1.420545959E-1,3.956123199E0,9.206155701E0,1.002119719E1
2.215525833E-1,-9.460327148E-2,4.980592804E0,9.104367371E0,1.037809037E1
2.316095833E-1,-1.166973267E0,5.254523163E0,9.241482239E0,1.069471057E1
2.416655833E-1,-1.603315887E0,3.883075104E0,9.251361694E0,1.016054070E1
2.517225833E-1,-1.391955414E0,3.132086792E0,9.292376404E0,9.904330708E0
2.617795833E-1,-1.314865723E0,3.216361542E0,9.171128540E0,9.807316255E0
2.718365833E-1,-1.137035522E0,3.864064636E0,9.157207489E0,1.000391395E1
2.818935832E-1,-1.230740662E0,4.221072235E0,9.148226166E0,1.014998598E1
2.919505833E-1,-1.120420074E0,4.171225891E0,9.248517609E0,1.020732798E1
3.020075833E-1,-7.188052368E-1,4.178560638E0,9.500443726E0,1.040362826E1
3.120645833E-1,-4.852908325E-1,4.256398773E0,9.556576996E0,1.047285069E1
3.221215833E-1,-4.965174866E-1,4.265829163E0,9.321416016E0,1.026316835E1
3.321775832E-1,-4.822970581E-1,4.078867950E0,8.580606537E0,9.512969187E0
3.422345833E-1,-4.763095093E-1,3.776646423E0,7.652985535E0,8.547404082E0
3.522915833E-1,-2.200424194E-1,3.644171906E0,7.324568481E0,8.183991140E0
